created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,PM2.5_ATM_ug/m3
2019-08-06 07:00:00 UTC,40.73,59.79,63.09,4261.1,-91.2,45.08
2019-08-06 08:00:00 UTC,34.96,51.22,53.65,4322.25,-90.82,41.33
2019-08-06 09:00:00 UTC,28.65,41.16,43.02,4381.48,-91.69,35.98
2019-08-06 10:00:00 UTC,25.16,35.9,37.59,4441.86,-90.97,32.91
2019-08-06 11:00:00 UTC,23.13,32.81,34.11,4501.28,-91.48,30.85
2019-08-06 12:00:00 UTC,23.24,32.97,34.29,4562.07,-91.17,31.11
2019-08-06 13:00:00 UTC,22.49,31.42,32.65,4621.34,-91.79,29.73
2019-08-06 14:00:00 UTC,22.98,31.87,32.98,4681.07,-91.9,29.75
2019-08-06 15:00:00 UTC,24.51,34.15,35.4,4740.48,-91.62,31.59
2019-08-06 16:00:00 UTC,26.18,36.8,38.18,4800.57,-92.46,33.53
2019-08-06 17:00:00 UTC,25.57,36.48,38.08,4859.77,-91.36,33.19
2019-08-06 18:00:00 UTC,35.39,49.72,51.66,4923.24,-91.43,40.64
2019-08-06 19:00:00 UTC,32.6,46.17,48.16,4980.77,-92.1,38.62
2019-08-06 20:00:00 UTC,29.1,41.55,43.48,5039.88,-92.92,36.06
2019-08-06 21:00:00 UTC,21.52,32.22,33.87,5104.14,-92.77,30.71
2019-08-06 22:00:00 UTC,20.23,30.32,31.82,5161.39,-93.39,28.83
2019-08-06 23:00:00 UTC,15.98,24.73,25.99,5221.16,-92.42,24.5
2019-08-07 00:00:00 UTC,17.43,27.04,28.59,5281.1,-91.79,26.41
2019-08-07 01:00:00 UTC,16.49,26.39,27.89,5341.03,-92.39,26.18
2019-08-07 02:00:00 UTC,14.93,23.45,24.9,5401.03,-92.48,23.38
2019-08-07 03:00:00 UTC,12.67,19.48,20.48,5461.03,-92.26,19.44
2019-08-07 04:00:00 UTC,16.04,22.77,23.74,5521.03,-91.48,22.24
